         main_volume  |                root  |                         World  |                                    0*cm 0*cm 0*cm  |                   0*deg 180*deg 180*deg  | 666666   |                 Box  |                                        100*cm 100*cm 100*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    Crs_volume_1_5_1  |         main_volume  |PbWO4 crystal mother volume 151  |                                 -90*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
           Crs_1_5_1  |    Crs_volume_1_5_1  |             PbWO4 crystal 151  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 1 ych manual 5 zch manual 1 
    Crs_volume_2_5_1  |         main_volume  |PbWO4 crystal mother volume 251  |                                 -70*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 1 ych manual 5 zch manual 1 
           Crs_2_5_1  |    Crs_volume_2_5_1  |             PbWO4 crystal 251  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 2 ych manual 5 zch manual 1 
    Crs_volume_3_5_1  |         main_volume  |PbWO4 crystal mother volume 351  |                                 -50*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 2 ych manual 5 zch manual 1 
           Crs_3_5_1  |    Crs_volume_3_5_1  |             PbWO4 crystal 351  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 3 ych manual 5 zch manual 1 
    Crs_volume_4_5_1  |         main_volume  |PbWO4 crystal mother volume 451  |                                 -30*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 3 ych manual 5 zch manual 1 
           Crs_4_5_1  |    Crs_volume_4_5_1  |             PbWO4 crystal 451  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 4 ych manual 5 zch manual 1 
    Crs_volume_5_5_1  |         main_volume  |PbWO4 crystal mother volume 551  |                                 -10*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 4 ych manual 5 zch manual 1 
           Crs_5_5_1  |    Crs_volume_5_5_1  |             PbWO4 crystal 551  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 5 ych manual 5 zch manual 1 
    Crs_volume_6_5_1  |         main_volume  |PbWO4 crystal mother volume 651  |                                  10*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 5 ych manual 5 zch manual 1 
           Crs_6_5_1  |    Crs_volume_6_5_1  |             PbWO4 crystal 651  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 6 ych manual 5 zch manual 1 
    Crs_volume_7_5_1  |         main_volume  |PbWO4 crystal mother volume 751  |                                  30*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 6 ych manual 5 zch manual 1 
           Crs_7_5_1  |    Crs_volume_7_5_1  |             PbWO4 crystal 751  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 7 ych manual 5 zch manual 1 
    Crs_volume_8_5_1  |         main_volume  |PbWO4 crystal mother volume 851  |                                  50*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 7 ych manual 5 zch manual 1 
           Crs_8_5_1  |    Crs_volume_8_5_1  |             PbWO4 crystal 851  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 8 ych manual 5 zch manual 1 
    Crs_volume_9_5_1  |         main_volume  |PbWO4 crystal mother volume 951  |                                  70*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 8 ych manual 5 zch manual 1 
           Crs_9_5_1  |    Crs_volume_9_5_1  |             PbWO4 crystal 951  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 9 ych manual 5 zch manual 1 
   Crs_volume_10_5_1  |         main_volume  |PbWO4 crystal mother volume 1051  |                                  90*mm 0*mm 10*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 9 ych manual 5 zch manual 1 
          Crs_10_5_1  |   Crs_volume_10_5_1  |            PbWO4 crystal 1051  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 10 ych manual 5 zch manual 1 
    Crs_volume_1_5_2  |         main_volume  |PbWO4 crystal mother volume 152  |                                 -90*mm 0*mm 30*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 10 ych manual 5 zch manual 1 
           Crs_1_5_2  |    Crs_volume_1_5_2  |             PbWO4 crystal 152  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 1 ych manual 5 zch manual 2 
    Crs_volume_2_5_2  |         main_volume  |PbWO4 crystal mother volume 252  |                                 -70*mm 0*mm 30*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 1 ych manual 5 zch manual 2 
           Crs_2_5_2  |    Crs_volume_2_5_2  |             PbWO4 crystal 252  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 2 ych manual 5 zch manual 2 
    Crs_volume_3_5_2  |         main_volume  |PbWO4 crystal mother volume 352  |                                 -50*mm 0*mm 30*mm  |                      90*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                          10*mm 10*mm 100*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 2 ych manual 5 zch manual 2 
           Crs_3_5_2  |    Crs_volume_3_5_2  |             PbWO4 crystal 352  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 402 xch manual 3 ych manual 5 zch manual 2 
